market,korean_name
KRW-BTC,비트코인
KRW-ETH,이더리움
BTC-ETH,이더리움
BTC-LTC,라이트코인
BTC-XRP,리플
BTC-ETC,이더리움클래식
BTC-OMG,오미세고
BTC-CVC,시빅
BTC-DGB,디지바이트
BTC-SC,시아코인
BTC-SNT,스테이터스네트워크토큰
BTC-WAVES,웨이브
BTC-NMR,뉴메레르
BTC-XEM,넴
BTC-QTUM,퀀텀
BTC-BAT,베이직어텐션토큰
BTC-LSK,리스크
BTC-STEEM,스팀
BTC-DOGE,도지코인
BTC-BNT,뱅코르
BTC-XLM,스텔라루멘
BTC-ARDR,아더
BTC-ARK,아크
BTC-STORJ,스토리지
BTC-GRS,그로스톨코인
BTC-REP,어거
BTC-RLC,아이젝
USDT-BTC,비트코인
USDT-ETH,이더리움
USDT-LTC,라이트코인
USDT-XRP,리플
USDT-ETC,이더리움클래식
KRW-NEO,네오
KRW-MTL,메탈
KRW-LTC,라이트코인
KRW-XRP,리플
KRW-ETC,이더리움클래식
KRW-OMG,오미세고
KRW-SNT,스테이터스네트워크토큰
KRW-WAVES,웨이브
KRW-XEM,넴
KRW-QTUM,퀀텀
KRW-LSK,리스크
KRW-STEEM,스팀
KRW-XLM,스텔라루멘
KRW-ARDR,아더
KRW-ARK,아크
KRW-STORJ,스토리지
KRW-GRS,그로스톨코인
KRW-REP,어거
KRW-ADA,에이다
BTC-ADA,에이다
BTC-MANA,디센트럴랜드
USDT-OMG,오미세고
KRW-SBD,스팀달러
BTC-SBD,스팀달러
KRW-POWR,파워렛저
BTC-POWR,파워렛저
KRW-BTG,비트코인골드
USDT-ADA,에이다
BTC-DNT,디스트릭트0x
BTC-ZRX,제로엑스
BTC-TRX,트론
BTC-TUSD,트루USD
BTC-LRC,루프링
KRW-ICX,아이콘
KRW-EOS,이오스
USDT-TUSD,트루USD
KRW-TRX,트론
BTC-POLY,폴리매쓰
USDT-SC,시아코인
USDT-TRX,트론
KRW-SC,시아코인
KRW-ONT,온톨로지
KRW-ZIL,질리카
KRW-POLY,폴리매쓰
KRW-ZRX,제로엑스
KRW-LOOM,룸네트워크
BTC-BCH,비트코인캐시
USDT-BCH,비트코인캐시
KRW-BCH,비트코인캐시
BTC-MFT,메인프레임
BTC-LOOM,룸네트워크
KRW-BAT,베이직어텐션토큰
KRW-IOST,아이오에스티
BTC-RFR,리퍼리움
KRW-RFR,리퍼리움
USDT-DGB,디지바이트
KRW-CVC,시빅
KRW-IQ,에브리피디아
KRW-IOTA,아이오타
BTC-RVN,레이븐코인
BTC-GO,고체인
BTC-UPP,센티넬프로토콜
BTC-ENJ,엔진코인
KRW-MFT,메인프레임
KRW-ONG,온톨로지가스
KRW-GAS,가스
BTC-MTL,메탈
KRW-UPP,센티넬프로토콜
KRW-ELF,엘프
USDT-DOGE,도지코인
USDT-ZRX,제로엑스
USDT-RVN,레이븐코인
USDT-BAT,베이직어텐션토큰
KRW-KNC,카이버네트워크
BTC-MOC,모스코인
BTC-ZIL,질리카
KRW-BSV,비트코인에스브이
BTC-BSV,비트코인에스브이
BTC-IOST,아이오에스티
KRW-THETA,쎄타토큰
