,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
0,KRW-BTC,2022-05-28T15:00:00,2022-05-29T00:00:00,36948000.0,36992000.0,36906000.0,36969000.0,1653751584662,1481166949.10248,40.0907142,60
1,KRW-ETH,2022-05-28T15:00:00,2022-05-29T00:00:00,2273000.0,2283000.0,2269000.0,2280000.0,1653751584097,702258810.19509,308.45927463,60
2,BTC-ETH,2022-05-28T15:00:00,2022-05-29T00:00:00,0.06141014,0.06141014,0.06141014,0.06141014,1653751578000,0.0094,0.15306919,60
3,BTC-LTC,2022-05-28T12:00:00,2022-05-28T21:00:00,0.0021696,0.00217732,0.00216959,0.0021773,1653742292312,0.05750598,26.47702416,60
4,BTC-XRP,2022-05-28T15:00:00,2022-05-29T00:00:00,1.331e-05,1.331e-05,1.331e-05,1.331e-05,1653750985585,0.00178359,134.00387563,60
5,BTC-ETC,2022-05-28T14:00:00,2022-05-28T23:00:00,0.00077984,0.00077984,0.00077982,0.00077984,1653747940849,0.01349925,17.31035798,60
6,BTC-OMG,2022-05-28T12:00:00,2022-05-28T21:00:00,8.191e-05,8.191e-05,8.191e-05,8.191e-05,1653739283964,0.00959969,117.1980001,60
7,BTC-CVC,2022-05-28T06:00:00,2022-05-28T15:00:00,5.4e-06,5.4e-06,5.39e-06,5.39e-06,1653721063440,0.01499636,2782.00990099,60
8,BTC-DGB,2022-05-28T11:00:00,2022-05-28T20:00:00,3.7e-07,3.7e-07,3.7e-07,3.7e-07,1653738712938,0.00052606,1421.7766,60
9,BTC-SC,2022-05-28T12:00:00,2022-05-28T21:00:00,1.8e-07,1.9e-07,1.8e-07,1.9e-07,1653741888895,0.00125731,6961.59122085,60
10,BTC-SNT,2022-05-28T11:00:00,2022-05-28T20:00:00,1.19e-06,1.19e-06,1.19e-06,1.19e-06,1653738260629,0.01528899,12847.89074394,60
11,BTC-WAVES,2022-05-28T11:00:00,2022-05-28T20:00:00,0.00015014,0.00015014,0.00015014,0.00015014,1653735722724,0.01133377,75.488,60
12,BTC-NMR,2022-05-28T14:00:00,2022-05-28T23:00:00,0.00040892,0.00040892,0.00040892,0.00040892,1653748619561,0.00117054,2.86252479,60
13,BTC-XEM,2022-05-28T15:00:00,2022-05-29T00:00:00,1.63e-06,1.63e-06,1.63e-06,1.63e-06,1653750780924,0.00092497,567.46755864,60
